service_id,date,exception_type
IDFM:TN:5952540,20240626,2
IDFM:TN:5952682,20240612,1
IDFM:TN:5952682,20240616,2
IDFM:TN:5952682,20240615,2
IDFM:TN:5952682,20240626,1
IDFM:TN:5952903,20240619,2
IDFM:TN:5952909,20240613,1
IDFM:TN:5952909,20240627,1
IDFM:TN:5952920,20240627,2
IDFM:TN:5953000,20240611,1
IDFM:TN:5953000,20240610,1
IDFM:TN:5953000,20240621,2
IDFM:TN:5953000,20240619,2
IDFM:TN:5953000,20240625,1
IDFM:TN:5953000,20240624,1
IDFM:TN:5953001,20240609,2
IDFM:TN:5953001,20240608,2
IDFM:TN:5953001,20240611,1
IDFM:TN:5953001,20240610,1
IDFM:TN:5953001,20240621,2
IDFM:TN:5953001,20240620,2
IDFM:TN:5953001,20240619,2
IDFM:TN:5953001,20240625,1
IDFM:TN:5953001,20240624,1
IDFM:TN:5953002,20240613,1
IDFM:TN:5953002,20240612,1
IDFM:TN:5953002,20240621,2
IDFM:TN:5953002,20240617,2
IDFM:TN:5953002,20240627,1
IDFM:TN:5953002,20240626,1
IDFM:TN:5953003,20240609,2
IDFM:TN:5953003,20240608,2
IDFM:TN:5953003,20240611,1
IDFM:TN:5953003,20240625,1
IDFM:TN:5953004,20240611,1
IDFM:TN:5953004,20240625,1
IDFM:TN:5953023,20240621,1
IDFM:TN:5953023,20240619,1
IDFM:TN:5953023,20240618,1
IDFM:TN:5953023,20240617,1
IDFM:TN:5953024,20240702,1
IDFM:TN:5953036,20240622,1
IDFM:TN:5953039,20240621,1
IDFM:TN:5953039,20240620,1
IDFM:TN:5953039,20240619,1
IDFM:TN:5953039,20240625,2
IDFM:TN:5953039,20240624,2
IDFM:TN:5953040,20240617,1
IDFM:TN:5953040,20240627,2
IDFM:TN:5953040,20240626,2
IDFM:TN:5953041,20240625,2
IDFM:TN:5953155,20240616,2
IDFM:TN:5953155,20240615,2
IDFM:TN:5953157,20240610,1
IDFM:TN:5953157,20240616,2
IDFM:TN:5953157,20240615,2
IDFM:TN:5953157,20240624,1
IDFM:TN:5953387,20240608,2
IDFM:TN:5953387,20240616,1
IDFM:TN:5953387,20240630,1
IDFM:TN:5953401,20240615,1
IDFM:TN:5953401,20240623,2
IDFM:TN:5953401,20240629,1
IDFM:TN:5953404,20240623,2
IDFM:TN:5953404,20240622,2
IDFM:TN:5953414,20240615,1
IDFM:TN:5953414,20240621,1
IDFM:TN:5953414,20240623,2
IDFM:TN:5953414,20240629,1
IDFM:TN:5953429,20240623,2
IDFM:TN:5953429,20240622,2
IDFM:TN:5953517,20240608,1
IDFM:TN:5953517,20240616,2
IDFM:TN:5953533,20240616,2
IDFM:TN:5953533,20240615,2
IDFM:TN:5953540,20240615,2
IDFM:TN:5953540,20240623,1
IDFM:TN:5953552,20240616,2
IDFM:TN:5953552,20240624,1
IDFM:TN:5953865,20240623,2
IDFM:TN:5953889,20240616,2
IDFM:TN:5953949,20240609,1
IDFM:TN:5953949,20240623,1
IDFM:TN:5954247,20240616,1
IDFM:TN:5954247,20240630,1
IDFM:TN:5954255,20240609,1
IDFM:TN:5954255,20240615,2
IDFM:TN:5954261,20240615,2
IDFM:TN:5954276,20240615,1
IDFM:TN:5954276,20240629,1
IDFM:TN:5954283,20240622,2
IDFM:TN:5954915,20240616,1
IDFM:TN:5954915,20240615,1
IDFM:TN:5954915,20240630,1
IDFM:TN:5954915,20240629,1
IDFM:TN:5954940,20240616,1
IDFM:TN:5954940,20240622,1
IDFM:TN:5954940,20240630,1
IDFM:TN:5954940,20240624,2
IDFM:TN:5955223,20240610,1
IDFM:TN:5955223,20240624,1
IDFM:TN:5955302,20240701,2
IDFM:TN:5955305,20240609,1
IDFM:TN:5955305,20240623,1
IDFM:TN:5955348,20240613,1
IDFM:TN:5955348,20240612,1
IDFM:TN:5955348,20240611,1
IDFM:TN:5955361,20240628,1
